Site_ID,Site_Name,LAT,LON
1,Lednice,48.80,16.77
2,Uhersk? Ostroh,48.99,17.42
3,V?rovany,49.47,17.26
4,V?rovany,49.47,17.26
5,Ivanovice ,49.31,17.10
6,Ivanovice ,49.31,17.10
7,??slav,49.89,15.39
8,?atec,50.30,13.52
9,Hn?v?eves,50.31,15.72
10,Hn?v?eves,50.31,15.72
11,Pust? Jakartice,49.98,17.95
12,Pust? Jakartice,49.98,17.95
13,Kostelec,50.13,16.19
14,Kostelec,50.13,16.19
15,Praha - Ruzyn?,50.09,14.30
16,Praha - Ruzyn?,50.09,14.30
17,Chrastava,50.82,14.95
18,Chrastava,50.82,14.95
19,Sta?kov,49.55,13.06
20,Sta?kov,49.55,13.06
21,Jarom??ice,49.10,15.88
22,Jarom??ice,49.10,15.88
23,Jarom??ice,49.10,15.88
24,Trutnov,50.56,15.89
25,Hradec n. Svit.,49.73,16.51
26,Hradec n. Svit.,49.73,16.51
27,Hradec n. Svit.,49.73,16.51
28,Hora??ovice,49.34,13.70
29,Hora??ovice,49.34,13.70
30,L?pa,49.56,15.54
31,L?pa,49.56,15.54
32,L?pa,49.56,15.54
33,Humpolec,49.56,15.35
34,Pernolec,49.77,12.68
35,Pernolec,49.77,12.68
36,Vysok?,49.64,13.95
37,Vysok?,49.64,13.95
38,Lukavec,49.56,14.98
39,Lukavec,49.56,14.98
40,Vysok? nad Jizerou,50.67,15.41
41,?ab?ice,49.02,16.61
42,?ab?ice,49.02,16.61
43,Ivanovice ,49.31,17.10
44,Krom????,49.28,17.36
45,Krom????,49.28,17.36
