,Site,Crop,Experiment,Treatment ,Mineral N kg/ha/y,farmyard manure t/ha/year,Reported yield data (t DM/ha),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Mean,min_yield,max_yield,Soil texture,LAT,LON,SIMUID_1,Sand,Silt,Clay
0,Kroměříž,WWHT,norf,,100.0,12.5,grain,,5.865000000000001,3.9099999999999997,,6.272999999999999,7.4035,6.544999999999999,7.769,9.044,7.8115,5.372,6.8934999999999995,4.777,6.961499999999999,8.2875,9.477500000000001,9.027,8.126,,7.0964375,3.9099999999999997,9.477500000000001,loam,49.28,17.36,28776.0,40.0,40.0,20.0
1,Kroměříž,WWHT,norf,,100.0,12.5,grain,,5.865000000000001,3.9099999999999997,,6.272999999999999,7.4035,6.544999999999999,7.769,9.044,7.8115,5.372,6.8934999999999995,4.777,6.961499999999999,8.2875,9.477500000000001,9.027,8.126,,7.0964375,3.9099999999999997,9.477500000000001,loam,49.28,17.36,28776.0,40.0,40.0,20.0
2,Kroměříž,WWHT,mono,all,150.0,0.0,grain,,4.76,3.349,,6.256000000000001,6.0264999999999995,5.5165,6.256000000000001,6.6895,6.086,4.029,5.4315,2.9325000000000006,5.1765,7.2845,6.910500000000001,7.48,7.293,,5.7173125,2.9325000000000006,7.48,loam,49.28,17.36,28776.0,40.0,40.0,20.0
3,Kroměříž,WWHT,mono,all,150.0,0.0,grain,,4.76,3.349,,6.256000000000001,6.0264999999999995,5.5165,6.256000000000001,6.6895,6.086,4.029,5.4315,2.9325000000000006,5.1765,7.2845,6.910500000000001,7.48,7.293,,5.7173125,2.9325000000000006,7.48,loam,49.28,17.36,28776.0,40.0,40.0,20.0
4,Kroměříž,BARL,norf,0,0.0,12.5,grain,,3.8080000000000003,,6.851,6.205,5.6865000000000006,4.794,5.0405,5.9415000000000004,4.947,5.6354999999999995,6.9955,4.8875,5.218999999999999,5.873499999999999,7.4885,6.4174999999999995,7.964499999999999,,5.8596875,3.8080000000000003,7.964499999999999,loam,49.28,17.36,28776.0,40.0,40.0,20.0
5,Kroměříž,BARL,norf,0,0.0,12.5,grain,,3.8080000000000003,,6.851,6.205,5.6865000000000006,4.794,5.0405,5.9415000000000004,4.947,5.6354999999999995,6.9955,4.8875,5.218999999999999,5.873499999999999,7.4885,6.4174999999999995,7.964499999999999,,5.8596875,3.8080000000000003,7.964499999999999,loam,49.28,17.36,28776.0,40.0,40.0,20.0
6,Kroměříž,BARL,norf,30,30.0,12.5,grain,,4.318,,7.0125,6.4685,6.052,5.4825,5.388999999999999,6.2475,5.2275,6.256000000000001,7.326999999999999,4.972499999999999,5.712,6.069,7.412,6.536499999999999,7.819999999999999,,6.143906250000001,4.318,7.819999999999999,loam,49.28,17.36,28776.0,40.0,40.0,20.0
7,Kroměříž,BARL,norf,30,30.0,12.5,grain,,4.318,,7.0125,6.4685,6.052,5.4825,5.388999999999999,6.2475,5.2275,6.256000000000001,7.326999999999999,4.972499999999999,5.712,6.069,7.412,6.536499999999999,7.819999999999999,,6.143906250000001,4.318,7.819999999999999,loam,49.28,17.36,28776.0,40.0,40.0,20.0
8,Kroměříž,BARL,norf,60,60.0,12.5,grain,,4.2924999999999995,,7.0805,6.137,6.1625,5.508,5.252999999999999,6.324,5.2955000000000005,5.966999999999999,7.386499999999999,4.972499999999999,4.947,5.907500000000001,7.326999999999999,6.5874999999999995,7.6160000000000005,,6.04775,4.2924999999999995,7.6160000000000005,loam,49.28,17.36,28776.0,40.0,40.0,20.0
9,Kroměříž,BARL,norf,60,60.0,12.5,grain,,4.2924999999999995,,7.0805,6.137,6.1625,5.508,5.252999999999999,6.324,5.2955000000000005,5.966999999999999,7.386499999999999,4.972499999999999,4.947,5.907500000000001,7.326999999999999,6.5874999999999995,7.6160000000000005,,6.04775,4.2924999999999995,7.6160000000000005,loam,49.28,17.36,28776.0,40.0,40.0,20.0
10,Kroměříž,BARL,mono,0,0.0,0.0,grain,,2.465,,5.083,5.406,4.318,1.8444999999999998,3.995,3.3065,3.2724999999999995,2.3035,5.457,5.0575,3.2385,3.111,5.7205,3.6805,5.5249999999999995,,3.9865,1.8444999999999998,5.7205,loam,49.28,17.36,28776.0,40.0,40.0,20.0
11,Kroměříž,BARL,mono,0,0.0,0.0,grain,,2.465,,5.083,5.406,4.318,1.8444999999999998,3.995,3.3065,3.2724999999999995,2.3035,5.457,5.0575,3.2385,3.111,5.7205,3.6805,5.5249999999999995,,3.9865,1.8444999999999998,5.7205,loam,49.28,17.36,28776.0,40.0,40.0,20.0
12,Kroměříž,BARL,mono,60,60.0,0.0,grain,,3.145,,6.298500000000001,6.349500000000001,5.44,3.604,4.131,4.539,3.9439999999999995,3.8419999999999996,5.814,4.827999999999999,4.972499999999999,3.859,6.715,4.827999999999999,6.885,,4.94965625,3.145,6.885,loam,49.28,17.36,28776.0,40.0,40.0,20.0
13,Kroměříž,BARL,mono,60,60.0,0.0,grain,,3.145,,6.298500000000001,6.349500000000001,5.44,3.604,4.131,4.539,3.9439999999999995,3.8419999999999996,5.814,4.827999999999999,4.972499999999999,3.859,6.715,4.827999999999999,6.885,,4.94965625,3.145,6.885,loam,49.28,17.36,28776.0,40.0,40.0,20.0
14,Kroměříž,BARL,mono,90,90.0,0.0,grain,,3.3405,,6.6724999999999985,5.984,5.576,4.0375,4.097,4.845,4.3095,3.995,5.6015,4.8705,4.811,4.0035,6.8425,5.032,7.0889999999999995,,5.069187499999999,3.3405,7.0889999999999995,loam,49.28,17.36,28776.0,40.0,40.0,20.0
15,Kroměříž,BARL,mono,90,90.0,0.0,grain,,3.3405,,6.6724999999999985,5.984,5.576,4.0375,4.097,4.845,4.3095,3.995,5.6015,4.8705,4.811,4.0035,6.8425,5.032,7.0889999999999995,,5.069187499999999,3.3405,7.0889999999999995,loam,49.28,17.36,28776.0,40.0,40.0,20.0
16,Hněvčeves,BARL,106,OS1,60.0,0.0,grain,,5.151096470588236,4.907463529411764,6.169134117647059,8.831694117647059,3.9677364705882345,3.4978729411764697,7.082757647058825,6.917435294117647,6.517181176470588,4.280978823529411,7.178470588235294,6.090823529411765,4.524611764705883,8.796889411764706,6.638997647058823,7.535218823529412,,,6.130522647058823,3.4978729411764697,8.831694117647059,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
17,Hněvčeves,BARL,106,OS1,60.0,0.0,grain,,5.151096470588236,4.907463529411764,6.169134117647059,8.831694117647059,3.9677364705882345,3.4978729411764697,7.082757647058825,6.917435294117647,6.517181176470588,4.280978823529411,7.178470588235294,6.090823529411765,4.524611764705883,8.796889411764706,6.638997647058823,7.535218823529412,,,6.130522647058823,3.4978729411764697,8.831694117647059,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
18,Hněvčeves,WWHT,140,71,0.0,0.0,grain,4.1839,,5.1299,5.1342,7.120799999999999,,,4.747199999999999,6.574699999999999,,6.3554,,5.0138,5.074,,5.3234,,,,5.46573,4.1839,7.120799999999999,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
