,Site,Crop,Experiment,Treatment ,Mineral N kg/ha/y,farmyard manure t/ha/year,Reported yield data (t DM/ha),Mean,min_yield,max_yield,Soil texture,LAT,SIMUID_1,Sand,Silt,Clay,variable,Yield
18,Hněvčeves,WWHT,140,71,0.0,0.0,grain,5.46573,4.1839,7.120799999999999,clay loam,50.31,26449.0,35.0,30.0,35.0,2000,4.1839
20,Hněvčeves,WWHT,140,opt,100.0,10.0,grain,8.043293333333333,6.9316,10.530700000000001,clay loam,50.31,26449.0,35.0,30.0,35.0,2000,7.622466666666668
22,Kostelec,WWHT,140,71,0.0,0.0,grain,4.670755555555555,3.7840000000000003,5.805,sandy loam,50.13,26787.0,65.0,25.0,10.0,2000,3.87
24,Kostelec,WWHT,140,opt,100.0,10.0,grain,7.83268888888889,6.8198,9.3224,sandy loam,50.13,26787.0,65.0,25.0,10.0,2000,7.1638
26,Pernolec,WWHT,140,71,0.0,0.0,grain,2.97646,1.9694,4.2741999999999996,sandy loam,49.77,23110.0,65.0,25.0,10.0,2000,2.4682
28,Pernolec,WWHT,140,opt,100.0,10.0,grain,5.46702,4.4117999999999995,6.7940000000000005,sandy loam,49.77,23110.0,65.0,25.0,10.0,2000,4.747199999999999
30,Humpolec,WWHT,140,71,0.0,0.0,grain,3.0486999999999997,2.0382000000000002,3.9474,sandy loam,49.56,27956.0,65.0,25.0,10.0,2000,2.6401999999999997
31,Humpolec,WWHT,140,opt,100.0,10.0,grain,6.2264,4.6096,7.774399999999999,sandy loam,49.56,27956.0,65.0,25.0,10.0,2000,6.192
36,Kostelec,C180,140,71,0.0,0.0,above-ground biomass,14.353333333333333,13.62,15.31,sandy loam,50.13,26787.0,65.0,25.0,10.0,2000,13.62
38,Kostelec,C180,140,opt,120.0,10.0,above-ground biomass,19.526666666666667,18.85,20.26,sandy loam,50.13,26787.0,65.0,25.0,10.0,2000,19.47
